Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.6,0.3,16.4,3,0.1,1.1,3.4,4.5,2,0.1,26.5,726.8,5.2,58.8,1.2,836,8.2,17.2,1.9,6.3,1.6,0.5,1.3,0.2,0.9,0.2,0.6,0.1,0.7,0.1,1.4,0.1,0.9,1.5
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.28,0.34,16.84,3.55,0.06,1.07,4.27,4.83,1.62,0.13,24.6,721.8,6.1,68.8,1.5,815,9.4,18.8,2.36,9.9,1.72,0.52,1.53,0.21,1.25,0.22,0.65,0.09,0.69,0.09,2,0.1,1.3,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.87,0.33,16.86,3.27,0.07,1,4.08,4.78,1.74,0.12,26.8,714.9,5.8,77.2,1.7,835,9.9,18,2.24,9.3,1.66,0.49,1.39,0.19,0.95,0.2,0.61,0.1,0.56,0.11,2.8,0.2,1.7,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.5,0.29,16.71,3.11,0.06,0.88,3.82,4.65,1.79,0.12,26.7,695,5.1,70.3,1.5,838,10,19.3,2.16,8.6,1.7,0.55,1.34,0.18,0.97,0.2,0.51,0.09,0.61,0.09,2.2,0.1,1.4,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.83,0.36,16.95,3.39,0.05,1.1,4.46,4.83,1.46,0.14,20.5,833.9,5.8,97.4,1.4,846,9.1,18.3,2.17,9.4,1.88,0.61,1.51,0.21,1.32,0.19,0.56,0.11,0.65,0.1,2.2,0.2,1.5,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.86,0.26,15.92,2.55,0.05,0.82,3.45,4.39,1.98,0.11,32.5,614.8,8.2,58.7,1.9,893,10.2,23.4,3.03,13.1,2.14,0.5,1.8,0.25,1.36,0.33,0.77,0.13,0.83,0.11,1.5,0.2,1.7,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.2,0.3,16.52,2.9,0.06,0.93,3.82,4.57,1.86,0.12,33,636.2,5.6,74.8,1.5,814,8.6,16.1,1.94,7.8,1.32,0.44,1.11,0.16,0.95,0.18,0.51,0.09,0.7,0.09,2.4,0.1,1.8,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.9,0.3,16.8,3.1,0.1,1,4.1,4.7,1.8,0.1,34.1,649,4.4,65.1,1.1,505,8.4,13.8,1.6,7.4,1.2,0.5,1,0.2,0.6,0.2,0.5,0.1,0.5,0.1,2.2,0.1,1.6,1.2
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.2,0.4,17,3.7,0.1,1.2,4.4,4.8,1.7,0.1,33.4,790.4,6.6,64.6,1.5,787,9.8,19.5,2.3,9.5,1.8,0.6,1.4,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.8,0.1,2.2,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66,0.4,16.8,3.5,0.1,1.2,4.1,4.8,1.5,0.1,22.5,763.3,6.1,64.4,1.3,790,9.3,19.1,2.2,8.5,1.7,0.5,1.4,0.2,1,0.2,0.5,0.1,0.6,0.1,1.8,0.1,1.2,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.2,0.3,16.4,2.8,0.1,0.8,3.8,4.6,1.8,0.1,28.1,709.8,6.8,69.1,1.5,920,10.2,21.7,2.6,10.1,1.7,0.5,1.4,0.2,1.2,0.2,0.7,0.1,0.6,0.1,2.1,0.1,1.3,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.3,0.3,16.6,3.3,0.1,1,3.9,4.8,1.8,0.1,29.4,675.6,5.4,64.9,1.6,907,9.2,18.9,2.2,10.3,1.6,0.5,1.4,0.2,0.9,0.2,0.7,0.1,0.7,0.1,2.5,0.2,1.5,1.2
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68,0.3,16.4,3.1,0.1,0.9,3.6,4.8,1.7,0.1,30.8,677.1,6,81.6,1.6,1029,10.4,20.7,2.4,9.2,1.7,0.6,1.6,0.2,1.3,0.2,0.5,0.1,0.6,0.1,2.7,0.2,1.3,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16.1,3.1,0.1,0.9,3.5,4.7,1.8,0.1,30.8,618.4,6.2,55.9,1.9,836,10.7,18.9,2.3,9.4,1.7,0.6,1.4,0.2,0.9,0.2,0.6,0.1,0.7,0.1,1.8,0.1,1.3,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.9,0.3,16.1,2.7,0.1,0.7,3.2,4.9,1.9,0.1,29.6,628.2,7.5,76.3,2.2,819,10.7,22.6,2.9,11.3,2.2,0.5,1.9,0.2,1.5,0.3,0.8,0.1,0.7,0.1,2.4,0.1,1.6,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.3,16.3,2.7,0.1,0.7,3.5,4.9,1.8,0.1,31.9,658,5.9,76.8,2.2,970,10.2,19.6,2.3,8.7,1.7,0.5,1.6,0.2,1.2,0.2,0.6,0.1,0.8,0.1,2,0.1,1.4,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16,2.6,0.1,0.7,3.2,4.8,2.1,0.1,38.3,514,6,65.1,2.1,828,9.8,19.4,2.3,8.9,1.7,0.5,1.6,0.2,1,0.2,0.7,0.1,0.7,0.1,1.9,0.2,1.3,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.9,0.3,16.2,2.7,0.1,0.8,3.3,4.8,2,0.1,31.3,571.1,6.1,64,2.3,1030,10.7,19.5,2.3,8.4,1.8,0.5,1.5,0.2,1.2,0.2,0.6,0.1,0.7,0.1,1.8,0.2,1.8,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,15.9,2.5,0.1,0.7,3.2,4.6,2.3,0.1,40.8,556.7,9.2,66.8,2.4,1005,10.9,24.4,3.5,14.3,3,0.7,2.7,0.3,2,0.3,0.9,0.1,0.9,0.2,1.2,0.2,2.3,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.3,0.3,16.2,2.8,0.1,0.8,3.3,4.8,2,0.1,35.7,577.5,5.5,71.2,2.1,907,10,20,2.2,7.9,1.4,0.5,1.5,0.2,1,0.2,0.6,0.1,0.7,0.1,2.4,0.2,1.8,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69,0.3,15.8,2.7,0.1,0.8,3.3,4.6,2.2,0.1,38.5,568.6,5.1,74,1.8,934,9.4,17.1,2,8.5,1.6,0.5,1.4,0.2,1.1,0.2,0.5,0.1,0.5,0.1,2.4,0.1,1.4,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.3,0.3,15.9,2.8,0.1,0.8,3.3,4.6,2,0.1,38.1,600.5,8.2,67.3,2.7,1373,11.3,23.1,3.1,12.1,2.2,0.6,2.1,0.2,1.4,0.3,0.8,0.1,0.8,0.1,2.4,0.2,1.6,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.3,0.3,16.2,2.8,0.1,0.8,3.6,4.8,1.9,0.1,35.5,596.3,5.7,76.9,1.9,842,9.9,19,2.2,8.9,1.6,0.5,1.5,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.9,0.1,2,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.5,0.2,16,2.5,0.1,0.7,3.3,4.7,2.2,0.1,30.6,609.9,5.1,64.6,2,1030,9.3,18.9,2.2,9.3,1.8,0.5,1.3,0.2,1.1,0.2,0.7,0.1,0.7,0.1,2.9,0.1,2,1.1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69,0.2,16,2.5,0.1,0.8,3,4.7,2.2,0.1,41.4,550.3,5.2,70.8,2.2,985,10.1,19.3,2,5.9,1.4,0.5,1.1,0.2,0.9,0.2,0.5,0.1,0.7,0.1,2.1,0.1,1.8,1.3
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,15.7,2.5,0.1,0.7,3,4.6,2.3,0.1,36.8,556.2,5.6,64,1.9,968,8.5,19.3,2.1,7.9,1.5,0.4,1.3,0.2,1.1,0.2,0.6,0.1,0.7,0.1,1.9,0.1,2.4,1.3
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.27,0.34,16.63,3.38,0.06,1.14,4.34,4.77,1.11,0.15,12.8,680.7,5.2,69.8,1.6,695,8.1,17.1,1.84,7.5,1.71,0.51,1.27,0.18,1.04,0.2,0.5,0.09,0.54,0.1,2.4,0.1,1.9,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69,0.26,16.35,2.54,0.06,0.77,3.44,4.73,1.92,0.1,32.3,623.8,4.9,51.8,1.5,828,7.8,16.1,1.81,7.1,1.24,0.45,1.11,0.15,0.88,0.19,0.52,0.06,0.49,0.09,1.8,0.2,1.5,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.97,0.26,16.21,2.59,0.05,0.83,3.31,4.63,2.26,0.11,45.6,634.6,5,54,1.6,959,9.1,16.4,2.02,6.7,1.45,0.44,1.19,0.16,0.94,0.16,0.57,0.08,0.6,0.1,1.5,0.1,1.5,1.2
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.28,16.29,2.69,0.05,0.84,3.66,4.68,1.88,0.1,29.4,651,5.3,68.4,1.6,915,8.8,16.8,1.94,7.2,1.51,0.4,1.21,0.16,0.76,0.23,0.46,0.07,0.54,0.08,2,0.1,1.5,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.54,0.23,15.79,2.5,0.06,0.74,3.12,4.61,2.09,0.1,35.1,583.3,4.6,64.4,1.6,861,9.1,16.1,1.81,6.3,1.21,0.43,1.05,0.14,0.58,0.18,0.47,0.07,0.6,0.09,2.1,0.2,2,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.1,0.3,16.4,2.6,0.1,0.7,3.4,4.7,2,0.1,28,606.3,6,66.3,1.6,772,8.4,19,2.1,9.4,1.6,0.4,1.2,0.2,1.4,0.2,0.8,0.1,0.9,0.1,1.9,0.2,1.7,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.6,0.3,16.4,2.7,0.1,0.8,3.4,4.7,1.9,0.1,30,597.4,5.5,63,1.6,1062,8.7,18.9,2,7.8,1.3,0.4,1.1,0.2,1,0.2,0.5,0.1,0.6,0.1,1.6,0.1,1.3,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.2,16.3,2.4,0.1,0.7,3.4,4.8,2,0.1,34.9,653,6.1,65.6,1.6,830,9.7,18.9,2.2,7.9,1.8,0.4,1.4,0.2,1.3,0.2,0.7,0.1,0.7,0.1,2.3,0.2,1.6,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,16.4,2,0.1,0.7,3.5,4.8,1.9,0.1,26.1,621.1,5.2,71.6,1.6,1106,10,20.8,2.3,6.8,1.5,0.4,1.1,0.2,0.8,0.2,0.4,0.1,0.6,0.1,2.3,0.1,1.2,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,15.6,2.6,0.1,0.7,3.2,4.8,2.3,0.1,39.7,611.9,5.3,59,2.2,952,10.6,20,2,7.7,1.3,0.4,1.1,0.1,0.9,0.2,0.5,0.1,0.6,0.1,2.3,0.2,2.5,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.7,0.2,16.3,2.5,0.1,0.6,3,4.8,2.1,0.1,32.6,666.8,5.8,65.6,1.8,1035,10.7,19.7,2.1,8,1.3,0.5,1.1,0.1,0.9,0.2,0.5,0.1,0.6,0.1,2.1,0.1,2.3,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.3,16.4,2.6,0.1,0.7,3.4,4.8,2,0.1,35.1,700.1,6.3,81.5,1.9,1026,11,21.3,2.4,8.9,1.5,0.5,1.3,0.2,1.1,0.2,0.6,0.1,0.6,0.1,2.3,0.1,1.7,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.2,0.2,16.3,2.5,0.1,0.6,3.3,4.9,2,0.1,35.3,695.6,5.3,69.1,1.7,912,9.9,19,2.1,8.5,1.5,0.4,1.1,0.2,0.9,0.2,0.5,0.1,0.5,0.1,1.9,0.1,1.5,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.9,0.3,16.5,2.6,0.1,0.7,3.4,4.9,1.9,0.1,28.8,742,6.3,64.8,1.9,921,11.5,21.9,2.5,9.9,1.7,0.5,1.3,0.2,0.9,0.2,0.6,0.1,0.7,0.1,1.5,0.1,1.1,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.1,0.3,16,2.7,0.1,0.8,3.5,4.6,2,0.1,40.7,625.8,5.8,76.8,1.7,1013,9.9,17,2.1,8.6,1.5,0.5,1.3,0.2,1.1,0.2,0.5,0.1,0.5,0.1,2.1,0.2,1.9,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.6,0.3,16.1,2.8,0.1,0.9,3.5,4.6,1.7,0.1,30.4,634.6,5.5,70.1,1.8,929,10.3,18.7,2.3,9.8,1.4,0.6,1.4,0.2,1,0.2,0.6,0.1,0.6,0.1,2.3,0.2,1.5,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.2,0.3,15.9,2.8,0.1,0.8,3.3,4.6,2.2,0.1,44.3,597.1,6.4,73.6,2.2,1108,11.7,19.7,2.5,9.7,1.7,0.5,1.3,0.2,1.3,0.2,0.5,0.1,0.6,0.1,2,0.2,2.2,1.2
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69,0.3,15.9,2.7,0.1,0.8,3.2,4.6,2.3,0.1,41,600,7.2,77.4,2.3,1130,11.6,21.6,2.6,10.5,2,0.5,1.6,0.2,1.3,0.2,0.6,0.1,0.7,0.1,2.4,0.1,1.9,0.7
Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.1,0.3,15.9,2.7,0.1,0.8,3.2,4.7,2.1,0.1,41.7,571,6.9,81.9,2.2,948,11.1,21,2.3,10,1.5,0.5,1.4,0.2,0.8,0.2,0.6,0.1,0.6,0.1,1.8,0.2,2,1.1
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,71.03,0.18,15.33,1.09,0.02,0.26,0.11,2.23,7.85,0.04,129,96.7,4.44,121,6.9,642,7.17,9.52,1.05,3.66,0.71,0.23,0.78,0.11,0.75,0.17,0.58,0.1,0.79,0.14,3.88,0.47,5.93,1.18
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,73.42,0.13,14.03,0.41,0.02,0.13,0.17,2.69,7.57,0.03,112,108,2.21,87,6,557,5.72,7.79,0.74,2.64,0.48,0.14,0.49,0.06,0.38,0.08,0.26,0.05,0.3,0.06,3.18,0.37,4.8,0.83
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,65.23,0.29,17.58,2.38,0.03,0.56,1.57,5.45,4.77,0.09,73.9,612,9.88,135,6.65,855,11.2,11.8,1.92,7.62,1.6,0.6,1.76,0.26,1.69,0.36,1.12,0.18,1.4,0.24,3.56,0.44,3.7,1.99
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.69,0.3,17.88,0.73,0.03,0.46,1.15,4.21,8.78,0.08,136,349,8.48,109,5.35,1547,14.4,16,2.43,9.57,1.87,0.64,1.91,0.25,1.51,0.31,0.95,0.15,1.14,0.18,2.71,0.35,2.46,1.44
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,65.04,0.28,18.1,2.22,0.03,0.53,1.83,5.63,4.84,0.07,69.2,606,9.54,121,6.58,879,12.6,14.6,2.03,7.94,1.61,0.54,1.71,0.24,1.49,0.33,1.04,0.17,1.31,0.21,3.42,0.43,3.18,2.36
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,65.58,0.27,18.35,1.51,0.02,0.46,1.43,5.71,5.25,0.08,72.3,525,10.2,117,6.08,876,11.5,13.5,2.06,7.86,1.54,0.51,1.68,0.25,1.66,0.36,1.19,0.2,1.48,0.24,3.22,0.41,2,2.34
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.87,0.18,16.89,1.23,0.02,0.36,0.98,4.42,6.28,0.21,118,533,10.53,74.17,4.93,750,11.69,19.53,2.13,8.14,1.75,0.61,1.11,0.22,1.43,0.35,1.07,0.2,1.37,0.21,2.36,0.36,4.49,1.62
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.57,0.24,18.28,1.01,0.03,0.44,1.48,5.29,6.1,0.15,117,651,12.22,112.7,7.18,1162,13.97,24.77,2.8,10.99,2.37,0.76,1.4,0.27,1.77,0.43,1.31,0.25,1.7,0.27,3.31,0.49,4.75,2.16
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.55,0.26,17.83,1.35,0.02,0.5,1.1,5.02,6.58,0.2,122,619,13.01,83.75,6.29,1004,16.48,28.81,3.11,12.06,2.53,0.8,1.55,0.3,1.9,0.46,1.39,0.26,1.74,0.27,2.58,0.41,3.42,2.34
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.46,0.2,16.49,2.18,0.08,0.27,1.81,5.72,4.38,0.06,90,722,11.75,126.1,3.93,1008,12.79,22.9,2.53,9.72,2.04,0.71,1.29,0.24,1.54,0.37,1.16,0.22,1.51,0.24,3.27,0.19,2.81,1.72
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.23,0.23,17.67,2.57,0.09,0.31,2.1,6,4.36,0.07,93,800,14.72,71.95,5.02,1047,13.41,29.08,3.23,12.61,2.65,0.85,1.65,0.31,1.99,0.47,1.43,0.26,1.68,0.25,2.12,0.26,2.48,2.46
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.44,0.18,16.82,1.74,0.07,0.35,2.86,5.63,4.11,0.05,82,620,6.71,69.89,3.97,959,10.77,19.08,2,7.2,1.32,0.51,0.84,0.15,0.97,0.22,0.71,0.13,0.97,0.15,1.97,0.28,1.37,1.48
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.87,0.23,17.2,2.36,0.07,0.41,2.4,5.67,4.67,0.08,95,780,15.44,85.31,6.39,978,17.5,29.94,3.23,12.36,2.58,0.82,1.62,0.32,2.06,0.51,1.57,0.29,1.91,0.3,2.64,0.47,4.31,3.23
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.12,0.23,18.38,2.27,0.07,0.34,2.73,6.04,4.38,0.08,82,841,15.94,124.3,5.72,948,13.67,29.02,3.24,12.64,2.7,0.85,1.68,0.33,2.11,0.52,1.6,0.3,1.98,0.3,3.49,0.41,3.02,1.11
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,65.22,0.14,17.34,1.31,0.04,0.21,1.57,5.71,4.93,0.07,101,421,8.05,79.13,3.77,807,9.12,27.78,1.74,6.47,1.39,0.51,0.89,0.17,1.15,0.27,0.84,0.16,1.11,0.17,2.47,0.19,3.8,2.77
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.46,0.23,16.03,3.12,0.04,0.58,2.59,5.34,2.7,0.14,47,160,11,86.23,5.23,856,14.44,35.52,3.32,11.88,2.06,0.65,1.37,0.25,1.61,0.38,1.19,0.22,1.48,0.23,2.57,0.29,4.58,9.78
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.35,0.22,16.3,1.8,0.05,0.29,2.09,4.18,5.93,0.19,131,429,13.57,86.29,5.06,798,14.22,27.85,3.05,11.7,2.37,0.72,1.47,0.28,1.84,0.45,1.38,0.26,1.73,0.26,2.42,0.24,2.27,6.03
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,62.29,0.24,16.96,2.23,0.04,0.4,2.07,5.35,4.97,0.27,102,393,14.22,100.2,5.52,298,19.28,33.99,3.67,14.31,2.86,0.83,1.75,0.32,2.02,0.48,1.44,0.27,1.76,0.27,2.76,0.29,3.48,3.63
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,61.39,0.23,16.17,3.5,0.06,0.27,2.91,5.3,4.95,0.4,111,472,12.32,101,6.19,909,14.41,29.52,3.25,12.45,2.38,0.69,1.39,0.26,1.64,0.4,1.27,0.24,1.63,0.25,2.92,0.44,3.95,1.97
Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.57,0.31,17.14,2.57,0.04,0.18,2.77,4.94,4.88,0.11,125,631,11.6,46.7,8,721,18.6,32,3.43,11.7,2.4,0.84,2.29,0.36,2.18,0.47,1.42,0.25,1.7,0.48,2,0.5,4.5,0.95
Cu-rich PCDs,Luoboling Cu-Mo,65.41,0.44,15.93,3.73,0.1,1.72,3.93,3.42,4.26,0.24,153,444,12.75,88,14.91,673,43.06,74.41,7.28,24.23,3.78,0.95,2.87,0.37,2.36,0.49,1.48,0.21,1.38,0.24,2.63,1.99,22.07,9
Cu-rich PCDs,Luoboling Cu-Mo,65.74,0.41,16.02,3.49,0.08,1.59,3.91,3.46,4.04,0.21,159,515,13.22,127,14.01,796,30.39,59.7,5.98,21.9,3.69,0.97,2.78,0.36,2.38,0.5,1.43,0.21,1.47,0.26,3.54,1.6,35.61,11.72
Cu-rich PCDs,Luoboling Cu-Mo,65.85,0.41,16.06,3.48,0.08,1.57,3.9,3.41,4.06,0.21,148,466,18.66,118,18.28,675,36.43,59.79,6.4,26.68,4.85,1.22,3.03,0.43,2.7,0.53,1.5,0.23,1.5,0.24,3.77,1.65,18.15,9.76
Cu-rich PCDs,Luoboling Cu-Mo,64.94,0.46,15.25,3.84,0.05,1.9,3.17,3.02,3.21,0.22,120,511,15.12,152,14.89,638,36.19,61.57,6.69,22.19,4.25,0.94,3.77,0.52,2.8,0.55,1.64,0.29,1.79,0.28,4.07,1.63,20.81,7.9
Cu-rich PCDs,Luoboling Cu-Mo,64.65,0.53,15.19,4.59,0.12,2.06,3.98,3,3.54,0.24,136,529,19.26,179,15.48,738,38.01,67.61,7.79,25.98,5.55,1.04,4.25,0.64,3.44,0.75,2.08,0.35,2.24,0.33,4.65,1.62,19.76,5.85
Cu-rich PCDs,Luoboling Cu-Mo,65.01,0.54,15.08,4.56,0.1,2.13,3.85,2.98,4.01,0.24,159,507,16.89,158,18.32,765,34.23,62.33,6.87,23.66,4.98,1.03,3.78,0.55,2.99,0.62,1.79,0.31,2.04,0.31,4.29,2.32,22.71,8.87
Cu-rich PCDs,Luoboling Cu-Mo,65.76,0.49,14.88,4.23,0.09,1.81,3.5,3.06,4.04,0.22,173,488,15.37,146,16.49,695,52.52,83.37,9.03,28.47,4.88,0.99,3.96,0.51,2.93,0.58,1.74,0.3,1.88,0.3,4.28,2.15,27.96,8.44
Cu-rich PCDs,Luoboling Cu-Mo,64.37,0.52,16.46,2.38,0.05,2.19,4.09,1.85,7.79,0.29,192,375,16.1,124,10.8,797,25.8,51.9,5.6,21.5,3.85,1.23,3.37,0.45,2.66,0.55,1.59,0.25,1.48,0.25,3.4,1.1,11.25,3.58
Cu-rich PCDs,Luoboling Cu-Mo,64.16,0.53,15.4,2.04,0.05,2.02,6.36,1.8,7.37,0.26,187,442,17.1,121,13.8,767,27.4,54.6,6.2,22.8,4.11,1.25,3.48,0.51,2.78,0.55,1.55,0.24,1.58,0.25,3.3,1.4,13.85,6.28
Cu-rich PCDs,Luoboling Cu-Mo,65.59,0.56,15.72,1.95,0.06,1.97,4.43,1.85,7.63,0.25,205,349,16.5,131,14.7,680,30.4,63.2,6.8,25.8,4.35,1.3,3.61,0.51,2.73,0.59,1.7,0.25,1.57,0.27,3.7,1.5,15.1,6.78
Cu-rich PCDs,Luoboling Cu-Mo,65.31,0.54,15.93,1.53,0.05,1.9,4.72,1.71,8.03,0.28,203,353,16.2,120,13.1,764,35.4,69.2,7.4,26.8,4.56,1.24,3.62,0.47,2.65,0.53,1.53,0.24,1.59,0.25,3.2,1.4,15,5.88
Cu-rich PCDs,Luoboling Cu-Mo,71.09,0.33,13.82,1.12,0.03,0.91,3.11,1.39,8.05,0.13,188.5,331,12.4,149,16.8,866,32.5,61,6.4,22.9,3.75,1.09,3.33,0.51,2.86,0.59,1.79,0.28,1.92,0.33,4.1,1.9,13.55,6.04
Cu-rich PCDs,Luoboling Cu-Mo,71.52,0.34,14.27,1.7,0.03,0.98,2.39,1.9,6.72,0.14,169.5,342,15,117,15.1,745,27.8,53.3,5.5,20.2,3.19,1.01,2.71,0.39,2.19,0.48,1.54,0.23,1.59,0.26,3.3,1.6,14.75,6.3
Cu-rich PCDs,Luoboling Cu-Mo,69.59,0.43,15.08,3.31,0.04,1.36,3.44,2.96,3.6,0.2,102,491,15.5,148,15.1,496,22.1,46.2,5.6,21.8,3.88,1.14,3.12,0.44,2.6,0.52,1.58,0.25,1.61,0.27,4.2,1.8,14.45,7.6
Cu-rich PCDs,Luoboling Cu-Mo,68.06,0.39,15.51,3.43,0.04,1.29,3.07,2.48,5.54,0.18,152.5,491,13.7,126,13.8,929,39.3,70.8,7.1,24.6,3.93,1.1,3.06,0.43,2.31,0.47,1.36,0.21,1.41,0.23,3.6,1.5,21.3,8.58
Cu-rich PCDs,Shujiadian Cu,52.4,1,17.4,7.2,0.2,3.2,8.2,4,2.8,0.4,53.7,1015,19.6,41.3,13.2,716,51.9,98.2,11.5,42.5,7.5,2.1,6.6,0.9,3.8,0.8,2.1,0.3,1.8,0.3,4.9,0.7,7.1,1.4
Cu-rich PCDs,Shujiadian Cu,53.7,1,17.6,7.1,0.2,3,7.7,4,3.4,0.4,65.5,976,18,32.9,14.3,895,46.7,88.9,9.9,36.8,6.4,1.8,5.7,0.8,3.6,0.7,2,0.3,1.7,0.3,5,0.8,8.7,1.8
